Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-03-31,"2,472","10,073",4.43,16,719,262,18,3,"1,149"
2020-04-01,"2,158","3,404",1.52,0,876,215,0,0,724
2020-04-02,"2,777","12,610",5.5,0,0,253,77,12,"1,467"
2020-04-03,"2,360","6,783",2.98,0,789,218,33,0,941
2020-04-04,"2,306","5,610",2.5,8,822,237,0,0,880
2020-04-05,"2,330","5,978",2.66,0,746,216,19,7,924
2020-04-06,"2,493","8,766",3.68,2,753,229,34,10,"1,104"
2020-04-07,"3,805","19,067",10.8,29,483,416,87,59,"2,756"
2020-04-08,"3,945","21,386",9.53,51,497,361,164,75,"2,943"
2020-04-09,"3,384","15,768",7.03,37,536,350,68,46,"2,173"
2020-04-10,"2,274","5,110",2.28,1,752,264,0,0,923
2020-04-11,"2,692","10,561",4.71,13,529,288,36,13,"1,397"
2020-04-12,"2,591","10,807",4.81,24,742,283,32,13,"1,295"
2020-04-13,"2,701","12,700",5.66,14,556,394,12,3,"1,528"
2020-04-14,"2,335","7,278",3.15,6,786,263,0,0,957
2020-04-15,"2,332","5,755",2.49,4,744,241,4,5,946
2020-04-16,"2,206","5,641",2.51,6,755,232,0,0,825
2020-04-17,"2,326","5,970",2.66,3,811,212,27,5,904
2020-04-18,"3,328","13,625",7.92,42,721,336,18,59,"2,071"
2020-04-19,"3,208","12,243",7.85,34,612,269,23,64,"1,909"
2020-04-20,"2,190","4,629",2.06,7,708,228,0,0,783
2020-04-21,"2,316","5,890",2.54,4,680,262,8,2,961
2020-04-22,"2,485","7,261",3.23,5,"1,137",291,11,1,"1,143"
2020-04-23,"2,706","7,927",3.56,4,"1,136",241,42,21,"1,325"
2020-04-24,"3,162","14,413",7.65,6,517,298,31,60,"1,901"
2020-04-25,"2,313","6,866",3.33,3,592,228,9,13,950
2020-04-26,"2,469","6,673",2.97,1,627,254,20,7,"1,101"
2020-04-27,"2,577","8,143",3.63,9,"1,141",274,9,16,"1,205"
2020-04-28,"3,045","12,462",8.2,30,679,291,14,57,"1,787"
2020-04-29,"2,316","5,786",2.56,8,513,266,0,0,907
2020-04-30,"2,491","10,240",4.54,5,676,341,6,0,"1,243"
2020-05-01,"3,460","20,162",10.38,25,624,311,58,75,"2,259"
2020-05-02,"3,081","13,004",5.8,10,602,424,24,22,"1,900"
2020-05-03,"2,389","6,661",2.97,7,678,248,5,9,"1,055"
2020-05-04,"2,251","5,985",2.67,3,702,268,0,0,916
2020-05-05,"2,171","6,471",2.85,4,779,232,0,0,812
2020-05-06,"3,152","14,570",8.24,20,"1,064",270,32,74,"1,914"
2020-05-07,"3,110","15,550",9.11,29,623,240,52,67,"1,832"
2020-05-08,"2,538","9,457",4.19,5,831,282,37,3,"1,223"
2020-05-09,"3,324","19,078",10.58,38,"1,038",254,67,81,"2,141"
2020-05-10,"2,399","8,918",3.97,9,615,250,36,2,"1,089"
2020-05-11,"2,220","6,283",2.8,3,810,241,0,0,841
2020-05-12,"2,829","11,166",7.5,26,733,225,35,44,"1,521"
2020-05-13,"2,916","11,271",6.05,17,624,309,24,49,"1,680"
2020-05-14,"2,714","9,605",4.24,4,661,287,37,9,"1,375"
2020-05-15,"2,511","7,192",3.2,3,645,293,9,12,"1,161"
2020-05-16,"2,872","9,934",4.46,1,539,329,73,19,"1,711"
2020-05-17,"2,581","6,432",2.87,5,676,299,9,1,"1,223"
2020-05-18,"2,362","8,256",3.68,3,523,262,12,3,"1,025"
2020-05-19,"2,751","13,824",5.96,6,779,263,57,18,"1,414"
2020-05-20,"3,035","12,349",8.2,23,748,271,32,52,"1,743"
2020-05-21,"3,207","17,592",10.42,30,615,279,10,82,"1,944"
2020-05-22,"3,323","17,147",10.57,39,577,336,34,58,"2,142"
2020-05-23,"2,333","10,435",4.65,7,"1,207",167,28,38,973
2020-05-24,"2,823","12,627",6.61,15,562,322,18,31,"1,571"
2020-05-25,"2,796","11,742",7.32,53,499,203,21,57,"1,482"
2020-05-26,"3,103","13,474",9.67,42,989,292,5,59,"1,857"
2020-05-27,"2,330","7,850",3.49,4,803,277,5,0,996
2020-05-28,"3,027","13,189",8.61,45,706,276,15,57,"1,736"
2020-05-29,"2,965","14,866",8.39,22,699,304,9,55,"1,726"
2020-05-30,"2,863","13,723",8.38,17,612,299,32,31,"1,626"
2020-05-31,"2,131","4,839",2.16,3,593,236,0,0,761
2020-06-01,"2,648","11,205",6.6,18,771,255,22,24,"1,331"
2020-06-02,"3,118","13,109",8.07,38,602,227,43,74,"1,807"
2020-06-03,"2,794","12,708",8.36,37,934,262,15,47,"1,531"
2020-06-04,"3,221","17,513",8.62,10,848,275,57,72,"2,009"
2020-06-05,"2,789","7,922",3.53,7,761,343,14,21,"1,519"
2020-06-06,"2,390","7,438",3.31,7,770,275,5,8,"1,045"
2020-06-07,"2,208","5,418",2.41,1,622,266,5,1,886
2020-06-08,"2,595","9,564",5.17,3,"1,140",261,9,30,"1,279"
2020-06-09,"2,255","5,591",2.48,5,"1,202",222,11,5,851
2020-06-10,"2,206","6,267",2.75,9,772,201,10,0,788
2020-06-11,"3,235","11,760",7.55,27,674,300,38,61,"1,994"
2020-06-12,"2,889","13,435",7.49,22,800,207,55,58,"1,603"
2020-06-13,"2,679","10,023",5.98,24,690,251,7,25,"1,305"
2020-06-14,"2,074","4,922",2.19,4,857,198,0,0,668
2020-06-15,"2,630","11,396",7.36,32,797,182,18,41,"1,263"
2020-06-16,"2,690","9,109",4.89,5,722,267,37,22,"1,389"
2020-06-17,"3,231","14,229",8.7,26,637,254,59,57,"1,955"
2020-06-18,"2,202","6,162",2.73,3,728,220,0,0,780
2020-06-19,"3,714","20,265",11.27,44,574,323,76,97,"2,551"
2020-06-20,"2,634","9,987",4.44,9,687,355,6,3,"1,395"
2020-06-21,"2,210","6,681",2.97,3,724,236,0,0,846
2020-06-22,"2,324","7,600",3.38,5,740,226,17,10,968
2020-06-23,"2,855","11,395",6.64,33,626,245,53,33,"1,551"
2020-06-24,"2,799","11,057",6.08,18,805,243,41,21,"1,353"
2020-06-25,"2,268","4,613",2.03,9,"1,229",211,0,0,778
2020-06-26,"2,201","4,987",2.22,7,995,205,0,0,731
2020-06-27,"3,215","16,115",9.55,39,591,257,48,73,"1,955"
2020-06-28,"3,085","13,589",7.61,12,633,252,91,42,"1,857"
2020-06-29,"2,538","10,566",5.82,28,651,217,30,32,"1,253"
2020-06-30,"2,106","5,707",2.54,10,757,219,0,0,737
2020-07-01,"2,946","16,024",9.88,38,575,274,17,52,"1,712"
2020-07-02,"2,606","13,286",5.84,6,724,256,29,39,"1,356"
2020-07-03,"2,483","9,807",5.52,14,613,216,14,35,"1,156"
2020-07-04,"3,238","15,544",9.61,52,729,336,14,63,"2,012"
2020-07-05,"2,138","5,055",2.25,2,988,221,0,0,742
2020-07-06,"2,789","12,309",7,20,928,263,24,47,"1,508"
2020-07-07,"2,301","7,178",3.08,2,807,257,0,0,913
2020-07-08,"2,799","12,493",5.55,14,754,322,42,4,"1,512"
2020-07-09,"3,351","12,408",7.56,36,613,383,27,56,"2,197"
2020-07-10,"2,861","11,144",5.86,31,760,245,55,31,"1,532"
2020-07-11,"2,412","7,821",3.47,11,767,232,29,5,"1,057"
2020-07-12,"2,084","5,219",2.32,9,629,199,0,0,686
2020-07-13,"2,302","7,769",3.45,7,753,264,5,6,966
2020-07-14,"2,576","9,347",5.21,20,740,242,18,18,"1,138"
2020-07-15,"2,234","7,363",3.25,1,770,250,8,1,903
2020-07-16,"2,957","11,387",7.12,27,767,221,43,56,"1,628"
2020-07-17,"2,727","12,019",5.31,2,775,277,24,43,"1,437"
2020-07-18,"3,122","13,723",8.4,39,749,272,27,64,"1,865"
2020-07-19,"2,369","7,675",4.25,10,785,218,11,17,"1,012"
